month,Total,DoS,percentage,Fraude,percentage,invasion,percentage,Outros,percentage,Scan,percentage,Web,percentage
01,59030,11827,20.04,2843,4.82,63,0.11,2001,3.39,41691,70.63,605,1.02
02,47990,7503,15.63,2510,5.23,82,0.17,215,0.45,37037,77.18,643,1.34
03,53792,8258,15.35,2987,5.55,105,0.20,923,1.72,40289,74.90,1230,2.29
04,41822,6417,15.34,2669,6.38,165,0.39,1349,3.23,30195,72.20,1027,2.46
05,69974,2369,3.39,3631,5.19,143,0.20,18949,27.08,44519,63.62,363,0.52
06,61308,3460,5.64,2812,4.59,100,0.16,19065,31.10,35576,58.03,295,0.48
07,50584,4412,8.72,2580,5.10,182,0.36,5531,10.93,37555,74.24,324,0.64
08,58220,132,0.23,2806,4.82,311,0.53,13671,23.48,40861,70.18,439,0.75
09,40183,373,0.93,2233,5.56,100,0.25,1761,4.38,35207,87.62,509,1.27
10,51665,3580,6.93,2390,4.63,107,0.21,220,0.43,44760,86.64,608,1.18
11,46470,247,0.53,2576,5.54,68,0.15,173,0.37,42739,91.97,667,1.44
Total,581038,48578,8.36,30037,5.17,1426,0.25,63858,10.99,430429,74.08,6710,1.15

