Total of cases              , 10928
Unique targets              , 512
Cases on-line               , 279
Cases off-line              , 10649
Cases BR banks              , 4005
BR bank targets (unique)    , 53
Cases others                , 6923
Other targets (unique)      , 459
Cases Brazilian institutions, 7426
Brazilian targets (unique)  , 195
Cases Foreign institutions  , 3502
Foreign targets (unique)    , 317
Unique URLs                 , 10526
SHAs                        , 7086
IPs                         , 4805
CIDRs                       , 1379
CCs                         , 57
ccTLDs                      , 73
gTLDs                       , 68
notTLDs (IP)                , 141
ASs                         , 374
Domains                     , 5212
