Year,Month,Total,SpamCop,Unknown
2003,Dezembro,4072334,3661569,410765
2004,Dezembro,4156382,3665200,491182
2005,Dezembro,2414200,1989902,424298
2006,Dezembro,3403430,1889658,1513772
2007,Dezembro,2446154,1729037,717117
2008,Dezembro,3297973,2012987,1284986
2009,Dezembro,4646468,2327388,2319080
2010,Dezembro,4745295,1266974,3478321
2011,Dezembro,3502521,711333,2791188
2012,Dezembro,1731842,626312,1105530
2013,Dezembro,993088,283923,709165
2014,Dezembro,735262,250392,484870
2015,Dezembro,711467,144267,567200
2016,Dezembro,791740,312018,479722
2017,Dezembro,650292,180643,469649
2018,Dezembro,497066,78679,418387
2019,Dezembro,806021,61899,744122
2020,Dezembro,863459,65485,797974
2021,Dezembro,586882,43770,543112
2022,Dezembro,674535,44012,630523
2023,Novembro,534408,54739,479669
