month,total,Spamvertised,percentage,proxy,percentage,sending_spam,percentage,Outhers,percentage,other_sources,percentage
01,60281,35,0.06,1996,3.31,4896,8.12,90,0.15,53264,88.36
02,44250,30,0.07,618,1.40,2530,5.72,40,0.09,41032,92.73
03,48523,70,0.14,3671,7.57,2789,5.75,67,0.14,41926,86.40
04,45556,55,0.12,1727,3.79,1389,3.05,66,0.14,42319,92.89
05,48405,49,0.10,2012,4.16,1666,3.44,55,0.11,44623,92.19
06,45677,47,0.10,853,1.87,1260,2.76,52,0.11,43465,95.16
07,56063,137,0.24,2181,3.89,3143,5.61,133,0.24,50469,90.02
08,49173,129,0.26,2495,5.07,1853,3.77,81,0.16,44615,90.73
09,43301,109,0.25,3077,7.11,1653,3.82,132,0.30,38330,88.52
10,47642,130,0.27,2777,5.83,3271,6.87,138,0.29,41326,86.74
11,45537,37,0.08,3580,7.86,3450,7.58,170,0.37,38300,84.11
total,534408,828,0.15,24987,4.68,27900,5.22,1024,0.19,479669,89.76
